sector,CountryDestination,CountryOrigin,one_plus_tau,one_plus_tau_prime
1,26,8,1,1
1,26,9,1.063,1.063
1,26,10,1,1
1,26,11,1,1
1,26,12,1,1
1,26,13,1.0291,1.0291
1,26,14,1.03376667,1.03376667
1,26,15,1.01573333,1.01573333
1,26,16,1,1
1,26,17,1,1
1,26,18,1.02833333,1.02833333
1,26,19,1.03896667,1.03896667
1,26,20,1.04176667,1.04176667
1,26,21,1,1
1,26,22,1.05203333,1.05203333
1,26,23,1.02353333,1.02353333
1,26,24,1,1
1,26,25,1.08053333,1.08053333
1,26,26,1,1
1,26,27,1.063,1.063
1,26,28,1.05583333,1.05583333
1,26,29,1,1
1,26,30,1.0645,1.0645
1,26,31,1.03953333,1.03953333
1,27,1,1.07266667,1.07266667
1,27,2,1.0562,1.0562
1,27,3,1.02826667,1.02826667
1,27,4,1.0176,1.0176
1,27,5,1.09153334,1.09153334
1,27,6,1.02276667,1.02276667
1,27,7,1.0168,1.0168
1,27,8,1.09303333,1.09303333
1,27,9,1.0634,1.0634
1,27,10,1.06346666,1.06346666
1,27,11,1.0579,1.0579
1,27,12,1.0628,1.0628
1,27,13,1.028,1.028
1,27,14,1.01446667,1.01446667
1,27,15,1.008266667,1.008266667
1,27,16,1.07526667,1.07526667
1,27,17,1.07776667,1.07776667
1,27,18,1.01356667,1.01356667
1,27,19,1.01816667,1.01816667
1,27,20,1.03763333,1.03763333
1,27,21,1.1115667,1.1115667
1,27,22,1.1369667,1.1369667
1,27,23,1.05266667,1.05266667
1,27,24,1.03546667,1.03546667
1,27,25,1.0816,1.0816
1,27,26,1.1115333,1.1115333
1,27,27,1,1
1,27,28,1.03926667,1.03926667
1,27,29,1.06456667,1.06456667
1,27,30,1.08283333,1.08283333
1,27,31,1.0488,1.0488
1,28,1,1.03,1.03
1,28,2,1.025,1.025
1,28,3,1.04375,1.04375
1,28,4,1.07495,1.07495
1,28,5,1.064,1.064
1,28,6,1.0721,1.0721
1,28,7,1.05403333,1.05403333
1,28,8,1.05555,1.05555
1,28,9,1.0775,1.0775
1,28,10,1.02183333,1.02183333
1,28,11,1.01466667,1.01466667
1,28,12,1.0275,1.0275
1,28,13,1.0414,1.0414
1,28,14,1.07436667,1.07436667
1,28,15,1.0302,1.0302
1,28,16,1.02985,1.02985
1,28,17,1.04233333,1.04233333
1,28,18,1.08663334,1.08663334
1,28,19,1.0707,1.0707
1,28,20,1.0696,1.0696
1,28,21,1.05146667,1.05146667
1,28,22,1.0201,1.0201
1,28,23,1.06,1.06
1,28,24,1,1
1,28,25,1.04583333,1.04583333
1,28,26,1.04213333,1.04213333
1,28,27,1.0247,1.0247
1,28,28,1,1
1,28,29,1.04193333,1.04193333
1,28,30,1.09266666,1.09266666
1,28,31,1.0616,1.0616
1,29,1,1.0592,1.0592
1,29,2,1.03566667,1.03566667
1,29,3,1.063,1.063
1,29,4,1.05636667,1.05636667
1,29,5,1.06926667,1.06926667
1,29,6,1.06476667,1.06476667
1,29,7,1.0172,1.0172
1,29,8,1,1
1,29,9,1.063,1.063
1,29,10,1,1
1,29,11,1,1
1,29,12,1,1
1,29,13,1.0291,1.0291
1,29,14,1.03376667,1.03376667
1,29,15,1.01573333,1.01573333
1,29,16,1,1
1,29,17,1,1
1,29,18,1.02833333,1.02833333
1,29,19,1.03896667,1.03896667
1,29,20,1.04176667,1.04176667
1,29,21,1,1
1,29,22,1.05203333,1.05203333
