sector,country,gamma_VA
7,23,0.060741726
8,23,0.349967018
9,23,0.337306713
10,23,0.377382331
11,23,0.262019622
12,23,0.391160903
13,23,0.32929543
14,23,0.268721456
15,23,0.351613172
16,23,0.341383022
17,23,0.356693752
18,23,0.312265187
19,23,0.329642626
20,23,0.357608354
21,23,0.74570393
22,23,0.347178546
23,23,0.543585222
24,23,0.48197577
25,23,0.417560136
26,23,0.417560136
27,23,0.417560136
28,23,0.417560136
29,23,0.495073898
30,23,0.679723562
31,23,0.780702086
32,23,0.516149144
33,23,0.431907001
34,23,0.67201356
35,23,0.497408317
36,23,0.614236574
37,23,0.782171884
38,23,0.770510702
39,23,0.56436792
40,23,1
1,24,0.597728896
2,24,0.520569831
3,24,0.18389368
4,24,0.289406609
5,24,0.21687975
6,24,0.362912478
7,24,0.004614122
8,24,0.31257344
9,24,0.327999781
10,24,0.423082293
11,24,0.333625882
12,24,0.333625882
13,24,0.339810702
14,24,0.251195472
15,24,0.251195472
16,24,0.251195472
17,24,0.251195472
18,24,0.134225158
19,24,0.134225158
20,24,0.309857094
21,24,0.421106148
22,24,0.330988333
23,24,0.569363059
24,24,0.410402898
25,24,0.490745491
26,24,0.355185577
27,24,0.287907084
28,24,0.720545555
29,24,0.621117901
30,24,0.739083051
31,24,0.758103727
32,24,0.501507878
33,24,0.501507878
34,24,0.501507878
35,24,0.501507878
36,24,0.760663165
37,24,0.843706462
38,24,0.544685805
39,24,0.371691748
40,24,1
1,25,0.5778657
2,25,0.588316784
3,25,0.272357721
4,25,0.3344847
5,25,0.329928893
6,25,0.336451885
7,25,0.388216076
8,25,0.291584212
9,25,0.359923426
10,25,0.410812386
11,25,0.308352105
12,25,0.328221339
13,25,0.324690741
14,25,0.510102726
15,25,0.354917919
16,25,0.298138193
17,25,0.342610765
18,25,0.222285259
19,25,0.458165279
20,25,0.502773013
21,25,0.646824961
22,25,0.309604
23,25,0.581243763
24,25,0.6210587
25,25,0.605113282
26,25,0.605113282
27,25,0.605113282
28,25,0.605113282
29,25,0.658523296
30,25,0.668833023
31,25,0.750752516
32,25,0.565777267
33,25,0.565777267
34,25,0.582185388
35,25,0.531657713
36,25,0.669978154
37,25,0.8003971
38,25,0.518813708
39,25,0.659621735
40,25,1
1,26,0.624826278
2,26,0.461226863
3,26,0.222738852
4,26,0.287203832
5,26,0.306776673
6,26,0.339323746
