sector,country,alpha
31,26,0.074661443
32,26,0.001949763
33,26,0.005674582
34,26,0
35,26,0.002524739
36,26,0.086361052
37,26,0.057576872
38,26,0.075174067
39,26,0.033529034
40,26,0.011210423
1,27,0.018314183
2,27,0.001152495
3,27,0.060854111
4,27,0.019094205
5,27,0
6,27,0.003239322
7,27,0.007672794
8,27,0.009669476
9,27,0.001106275
10,27,0.000501234
11,27,0
12,27,0
13,27,0.005932408
14,27,0.011273209
15,27,0.007286461
16,27,0.007712965
17,27,0.008172783
18,27,0.020895478
19,27,0.001540455
20,27,0.010209375
21,27,0.02133435
22,27,0.076861065
23,27,0.068246699
24,27,0.017777443
25,27,0.010332034
26,27,0.013391269
27,27,0
28,27,0.022241559
29,27,0.012002183
30,27,0.036190505
31,27,0.138913929
32,27,0.004057244
33,27,0.006116955
34,27,0.003630344
35,27,0.008415737
36,27,0.106003974
37,27,0.078422388
38,27,0.132408626
39,27,0.049014739
40,27,1.17299E-05
1,28,0.136117181
2,28,0.007196886
3,28,0.046039927
4,28,0.020582388
5,28,0
6,28,0
7,28,0
8,28,0.018754402
9,28,0.00302682
10,28,0
11,28,0
12,28,0.003263339
13,28,0.027933281
14,28,0.002104292
15,28,0.006303089
16,28,0.009022805
17,28,0.002891993
18,28,0.032669446
19,28,0.008817792
20,28,0
21,28,0.0137341
22,28,0.169436914
23,28,0.12270963
24,28,0.0205315
25,28,0.031550665
26,28,0
27,28,0.026663392
28,28,0.047464934
29,28,0.004083546
30,28,0.012701942
31,28,0.045458959
32,28,0
33,28,0.000200029
34,28,0
35,28,0.018842304
36,28,0.123105753
37,28,0.007857555
38,28,0.008980188
39,28,0.021954949
40,28,0
1,29,0.014562093
2,29,0.007080597
3,29,0.055043706
4,29,0.025374069
5,29,0.002559036
6,29,0.014315454
7,29,0.007423551
8,29,0.011454589
9,29,0.003657831
10,29,0.002515538
11,29,0
12,29,0.006411697
13,29,0.021266744
14,29,0.015898386
15,29,0.007235978
16,29,0.009132676
17,29,0.006499225
18,29,0.031775808
19,29,0.006139942
20,29,0.014765115
21,29,0.025790059
22,29,0.073941628
23,29,0.099432751
24,29,0.050831756
25,29,0.011792008
26,29,0.006202146
27,29,0.010206097
28,29,0
29,29,0.00341844
30,29,0.060438979
31,29,0.064639475
32,29,0.005036515
33,29,0.001152359
34,29,0.00037253
35,29,0.010125283
36,29,0.106743428
37,29,0.062869824
38,29,0.089338704
39,29,0.050012912
40,29,0.004543072
1,30,0.003377608
2,30,0.004773723
3,30,0.036969881
4,30,0.016398001
5,30,0.001676103
6,30,0.011853297
7,30,0.007515024
8,30,0.009906154
9,30,0.001039289
10,30,0.000798928
11,30,0
12,30,0.003832963
13,30,0.012860544
14,30,0.006979462
15,30,0
16,30,0.019314637
17,30,0.004048373
18,30,0.038526477
19,30,0.009000168
20,30,0.016570679
21,30,0.018130117
22,30,0.067225094
23,30,0.117424553
24,30,0.037134562
25,30,0.010432747
26,30,0.002152229
27,30,0.008212463
28,30,0.002034524
29,30,0.02026229
30,30,0.044488224
31,30,0.102904426
32,30,0.006947568
33,30,0
34,30,0
35,30,0.027217203
36,30,0.134192303
37,30,0.061154146
38,30,0.094017621
39,30,0.039360434
40,30,0.001268183
1,31,0.074237295
2,31,0
3,31,0.071784253
4,31,0.00265915
5,31,0
6,31,0.011498626
7,31,0.033291757
8,31,0.001219237
9,31,0.001724045
10,31,0
11,31,0
12,31,0.003566196
13,31,0.032941816
14,31,0.002233853
15,31,0.00630392
16,31,0.021988647
17,31,0.006357412
18,31,0.02380238
19,31,0.003744357
20,31,0.005892463
21,31,0.119681242
22,31,0.165405611
23,31,0.129263685
24,31,0.04740641
25,31,0.025896941
26,31,0.002112071
27,31,0.011447736
28,31,0.017217924
29,31,0.032697952
30,31,0
31,31,0.029726969
32,31,0.00337534
33,31,0.002515842
34,31,0.001087309
35,31,0.01615257
36,31,0.050315566
37,31,0.002873072
38,31,0.025945043
39,31,0.01127415
40,31,0.002359156
